stroll ,"거닐다, 산책하다 "
seashore ,"해변, 바닷가 "
breeze ,"미풍, 산들바람"
remodeling ,"리모델링, 주택 개보수"
make a change ,변경하다
suffer from ,~으로 고생하다 
go through ,"승인되다, 통과하다 "
no more than ,"불과, 고작"
withdrawal ,"출금, 인출; 취소 "
fill out ,~을 작성하다 
application ,"신청, 지원 "
withdraw ,취소하다
deposit ,"입금하다, 예치하다 "
as usual ,평소처럼 
go ahead ,"먼저 가다, 앞서 가다"
contract ,계약(서) 
contact ,연락하다 
register ,등록하다
on foot ,걸어서 
go straight ,직진하다 
turn right ,우회전하다
confirm ,확인하다 
organize ,"준비하다, 조직하다 "
preparation,준비 
come along ,(원하는 대로) 되어 가다 
supplies ,사무용품 
replace ,교체하다
head to ,~로 향하다 
get a haircut ,머리를 자르다
deserve ,~을 받을 만하다 
including ,~을 포함하여 
recognize ,"인정하다, 알아보다 "
recruitment ,"신규 모집, 채용 "
promotion ,"승진, 진급 "
retirement ,"은퇴, 퇴직"
electronics ,"전자기술, 전자공학"
pill ,"알약, 정제 "
recommend ,추천하다 
everywhere ,"모든 곳, 어디나 "
provide ,제공하다 
hate to do ,~하는 것을 싫어하다
make it ,(모임 등에) 가다 
come up ,(문제 등이) 발생하다 
affect ,영향을 미치다 
caterer ,(행사의) 요리 조달자 
beverage ,(물 외의) 음료
upset ,"기분이 상한, 낙담한"
author,"필자, 저자"
incredible ,놀랄 만한 
commute ,통근[통학] 시간[거리] 
masterpiece ,걸작 
exceed ,"초과하다, 넘다 "
sharp ,급격한 
slight ,"약간의, 조금의 "
decline ,"감소, 하락 "
thus ,"이렇게 하여, 이와 같이 "
downturn ,"감소, 하락 "
compared to ,~와 비교하여 
come up with ,~을 찾아내다[내놓다] 
go over ,~을 검토하다
statement ,명세서
not A but B ,A가 아니라 B 
expert ,전문가
recession ,불황
paid holiday ,유급 휴가 
compensation ,보상 
overtime ,"시간 외의, 초과 근무의 "
barely ,"간신히, 겨우"
accompany ,동반하다 
permit ,허용하다
magnificent ,"장엄한, 장대한 "
scenery ,"풍경, 경치 "
shaded ,그늘진 
deck ,집에 딸린 목제 테라스
analysis ,분석 
suspect,의심스러운
unusual ,"특이한, 흔치 않은 "
versatile ,"다재다능한, 다용도의 "
stubborn ,"완고한, 고집스러운"
assign ,(일·책임 등을) 맡기다 
sensitive ,"민감한, 신중을 요하는 "
complete ,"끝마치다, 완료하다 "
ethics ,pl. 윤리학 
support rod ,지지대 
wobbling ,흔들거리는 
remedial ,(문제를) 개선하기 위한
historical ,역사적인 
empire ,"거대 기업, 제국 "
construct ,건설하다 
enormous ,"거대한, 막대한 "
be full of ,~으로 가득 차 있다 
in person ,"직접, 몸소 "
payment ,"지불, 지급 "
slightly ,약간 
previously ,"미리, 사전에 "
highly ,매우 
donate ,"기증하다, 기부하다"
resident ,주민
formal suit ,정장 
badge ,배지 
predict ,예측[예견]하다 
agree with ,~에 동의하다
therapy ,"치료법, 요법 "
workshop,"워크숍, 공동 연수"
sponsor ,"주최하다, 후원하다 "
therapeutic ,치료법의 
hands-on ,직접 해 보는 
therapist,"치료사, 요법사 "
a variety of ,다양한 
effective ,효과적인 
technique ,"(전문) 기술, 기법 "
qualify for ,~의 자격을 갖추다 
credit ,학점 
physical ,물리(학)적인 
assistant ,"조수, 보조원 "
instructor ,강사 
blend ,"섞다, 혼합하다 "
approach ,접근법 
effectively ,효과적으로 
heal ,"치료하다, 낫게 하다"
location ,"장소, 위치 "
ranch ,(관광) 목장 
tuition ,수업료 
registration ,등록 
reserve ,예약하다 
remaining ,남아 있는 
balance ,"잔액, 잔금 "
in full ,전부 
prior to ,~ 전에 
cancelation,취소
right away ,즉시 
partial ,부분적인 
no-show ,불참자
in advance ,"사전에, 미리 "
meal ,식사 
participant,참가자 
former ,"이전의, 과거의"
element ,요소 
theory ,이론 
at a time ,한 번에 
entrepreneur ,기업가 
counterpart ,"한 쌍의 한쪽, 상대 "
succeed ,성공하다 
primary ,"일차적인, 첫째의 "
investment ,투자 
no matter how ,아무리 ~하더라도 
obstacle ,장애(물)
talented ,재능 있는 
on one’s own ,"혼자, 혼자 힘으로 "
preferably ,"가급적, 되도록"
firm ,회사 
line ,(상품의) 종류 
attend ,참석하다 
text ,문자를 보내다
convenient ,편리한 
complaint ,"불평, 항의 "
priority ,우선 사항 
inconvenience,불편
assume ,"추정하다, 생각하다 "
enclosed ,동봉된
make a speech ,연설하다 
manufacturer ,"제조사, 생산회사"
equipment ,장비
influence ,영향을 미치다 
disable ,망가뜨리다 
per day ,하루에 
freebie ,"공짜 물건, 경품 "
connoisseur ,감정가 
redeem ,"상환하다, 교환하다 "
limited-time ,한시적인 
promotional ,홍보용의 
sign up for ,"신청하다, 참가하다"
temporarily ,"일시적으로, 임시로 "
fragrant ,"향기로운, 향긋한 "
favorite ,특히 좋아하는 것 
decide ,결정하다 
be surprised ,놀라다 
